,Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link,Actors
155,1,Harry Potter and the Deathly Hallows Part 2,WB,"$381,011,219","4,375","$169,189,427","4,375",2011,/movies/?id=harrypotter72.htm,Clemence PoesyDaniel RadcliffeRupert GrintEmma WatsonHelena Bonham CarterRalph FiennesTom Felton*Robbie Coltrane*Michael Gambon*Jason Isaacs*Alan RickmanDavid Thewlis*Julie Walters*Bonnie Wright*Gary Oldman*Emma Thompson*Maggie Smith*John Hurt*Kelly Macdonald*Ciaran Hinds*Warwick Davis*Miranda Richardson*Timothy Spall*Jim Broadbent*
156,2,Transformers: Dark of the Moon,P/DW,"$352,390,543","4,088","$97,852,865","4,088",2011,/movies/?id=transformers3.htm,Shia LaBeoufRosie Huntington-WhiteleyJosh DuhamelTyrese GibsonFrances McDormandPatrick DempseyJohn MalkovichAlan TudykKen JeongJohn TurturroHugo Weaving* (Voice)Leonard Nimoy* (Voice)
157,3,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$281,287,133","4,066","$138,122,261","4,061",2011,/movies/?id=breakingdawn.htm,Robert PattinsonKristen StewartTaylor LautnerAshley GreeneBilly BurkePeter FacinelliElizabeth ReaserNikki ReedKellan LutzJackson RathboneMaggie Grace*Anna Kendrick*Michael Sheen*
158,4,The Hangover Part II,WB,"$254,464,305","3,675","$85,946,294","3,615",2011,/movies/?id=hangover2.htm,Bradley CooperEd HelmsZach GalifianakisJustin BarthaKen JeongPaul GiamattiMike TysonJeffrey TamborJamie Chung
159,5,Pirates of the Caribbean: On Stranger Tides,BV,"$241,071,802","4,164","$90,151,958","4,155",2011,/movies/?id=piratesofthecaribbean4.htm,Johnny DeppPenelope CruzIan McShaneKevin McNallyAstrid Berges-FrisbeySam ClaflinGeoffrey Rush
160,1,Marvel's The Avengers,BV,"$623,357,910","4,349","$207,438,708","4,349",2012,/movies/?id=avengers11.htm,"Robert Downey, Jr.Chris HemsworthChris EvansJeremy RennerMark RuffaloScarlett JohanssonClark GreggSamuel L. JacksonCobie SmuldersTom HiddlestonStellan SkarsgardGwyneth Paltrow*Paul Bettany* (Voice)"
161,2,The Dark Knight Rises,WB,"$448,139,099","4,404","$160,887,295","4,404",2012,/movies/?id=batman3.htm,Christian BaleMichael CaineAnne HathawayTom HardyGary OldmanMarion CotillardJoseph Gordon-LevittMorgan FreemanMatthew ModineJuno Temple*Cillian Murphy*Liam Neeson*Joey King*
162,3,The Hunger Games,LGF,"$408,010,692","4,137","$152,535,747","4,137",2012,/movies/?id=hungergames.htm,Jennifer LawrenceJosh HutchersonLiam HemsworthElizabeth BanksWes BentleyStanley TucciWoody HarrelsonLenny KravitzToby Jones
163,4,Skyfall,Sony,"$304,360,277","3,526","$88,364,714","3,505",2012,/movies/?id=bond23.htm,Daniel CraigJudi DenchJavier BardemRalph FiennesNaomie HarrisBerenice MarloheBen WhishawAlbert Finney
164,5,The Hobbit: An Unexpected Journey,WB (NL),"$303,003,568","4,100","$84,617,303","4,045",2012,/movies/?id=hobbit.htm,Martin FreemanIan McKellenRichard ArmitageAndy Serkis (Voice)Cate BlanchettHugo WeavingChristopher Lee*Ian Holm*Elijah Wood*
165,1,The Hunger Games: Catching Fire,LGF,"$424,668,047","4,163","$158,074,286","4,163",2013,/movies/?id=catchingfire.htm,Jennifer LawrenceJosh HutchersonLiam HemsworthElizabeth BanksStanley TucciWoody HarrelsonPhilip Seymour HoffmanJeffrey WrightJena MaloneAmanda PlummerSam ClaflinDonald SutherlandLenny Kravitz
166,2,Iron Man 3,BV,"$409,013,994","4,253","$174,144,585","4,253",2013,/movies/?id=ironman3.htm,"Fan BingbingRobert Downey, Jr.Gwyneth PaltrowDon CheadleGuy PearceRebecca HallJames Badge DaleJon FavreauBen KingsleyPaul Bettany* (Voice)Mark Ruffalo* (Cameo)"
167,3,Frozen,BV,"$400,738,009","3,742","$243,390",1,2013,/movies/?id=frozen2013.htm,Kristen Bell (Voice)Jonathan Groff (Voice)Josh Gad (Voice)Idina Menzel (Voice)Alan Tudyk (Voice)
168,4,Despicable Me 2,Uni.,"$368,061,265","4,003","$83,517,315","3,997",2013,/movies/?id=despicableme2.htm,Steve Carell (Voice)Kristen Wiig (Voice)Benjamin Bratt (Voice)Russell Brand (Voice)Ken Jeong (Voice)Steve Coogan (Voice)
169,5,Man of Steel,WB,"$291,045,518","4,207","$116,619,362","4,207",2013,/movies/?id=superman2012.htm,Henry CavillAmy AdamsMichael ShannonKevin CostnerDiane LaneLaurence FishburneAyelet ZurerRussell CroweChristopher Meloni
170,1,American Sniper,WB,"$350,126,372","3,885","$633,456",4,2014,/movies/?id=americansniper.htm,Bradley CooperKyle GallnerSienna Miller
171,2,The Hunger Games: Mockingjay - Part 1,LGF,"$337,135,885","4,151","$121,897,634","4,151",2014,/movies/?id=hungergames3.htm,Jennifer LawrenceJosh HutchersonLiam HemsworthWoody HarrelsonDonald SutherlandPhilip Seymour HoffmanJulianne MooreSam ClaflinElizabeth BanksJena MaloneJeffrey WrightStanley Tucci
172,3,Guardians of the Galaxy,BV,"$333,176,600","4,088","$94,320,883","4,080",2014,/movies/?id=marvel2014a.htm,Michael RookerChris PrattZoe SaldanaDave BautistaVin Diesel (Voice)Bradley Cooper (Voice)Lee PaceKaren GillanDjimon HounsouJohn C. ReillyGlenn CloseBenicio Del ToroJosh Brolin*
173,4,Captain America: The Winter Soldier,BV,"$259,766,572","3,938","$95,023,721","3,938",2014,/movies/?id=marvel14b.htm,Chris EvansScarlett JohanssonSamuel L. JacksonRobert RedfordSebastian StanAnthony MackieCobie SmuldersFrank GrilloHayley AtwellEmily VanCamp*Toby Jones*Elizabeth Olsen* (Cameo)
174,5,The LEGO Movie,WB,"$257,760,692","3,890","$69,050,279","3,775",2014,/movies/?id=lego.htm,Will Arnett (Voice)Elizabeth Banks (Voice)Alison Brie (Voice)Will Ferrell (Voice)Anthony Daniels (Voice)Charlie Day (Voice)Will Forte (Voice)Dave Franco (Voice)Morgan Freeman (Voice)Jonah Hill (Voice)Keegan-Michael Key (Voice)Liam Neeson (Voice)Shaquille O'Neal (Voice)Nick Offerman (Voice)Chris Pratt (Voice)Cobie Smulders (Voice)Jorma Taccone (Voice)Channing Tatum (Voice)Billy Dee Williams (Voice)
175,1,Star Wars: The Force Awakens,BV,"$936,662,225","4,134","$247,966,675","4,134",2015,/movies/?id=starwars7.htm,John BoyegaDaisy RidleyAdam DriverOscar IsaacAndy SerkisDomhnall GleesonMax von SydowHarrison FordCarrie FisherMark HamillAnthony DanielsPeter MayhewKenny BakerWarwick DavisLupita Nyong'oSimon Pegg
176,2,Jurassic World,Uni.,"$652,270,625","4,291","$208,806,270","4,274",2015,/movies/?id=jurassicpark4.htm,Nick RobinsonOmar SyChris PrattBryce Dallas HowardJake JohnsonVincent D'OnofrioIrrfan KhanJudy Greer
177,3,Avengers: Age of Ultron,BV,"$459,005,868","4,276","$191,271,109","4,276",2015,/movies/?id=avengers2.htm,"Robert Downey, Jr.Chris HemsworthMark RuffaloChris EvansScarlett JohanssonJeremy RennerDon CheadleAaron JohnsonElizabeth OlsenPaul BettanyCobie SmuldersAnthony MackieHayley AtwellIdris ElbaStellan SkarsgardJames Spader (Voice)Samuel L. JacksonJosh Brolin (Voice)Andy Serkis* (Cameo)"
178,4,Inside Out,BV,"$356,461,711","4,158","$90,440,272","3,946",2015,/movies/?id=pixar2014.htm,Amy Poehler (Voice)Bill Hader (Voice)Mindy Kaling (Voice)Phyllis Smith (Voice)Lewis Black (Voice)Diane Lane (Voice)Kyle MacLachlan (Voice)
179,5,Furious 7,Uni.,"$353,007,020","4,022","$147,187,040","4,004",2015,/movies/?id=fast7.htm,Tony JaaVin DieselPaul WalkerDwayne JohnsonMichelle RodriguezJordana BrewsterTyrese GibsonChris 'Ludacris' BridgesLucas BlackJason StathamDjimon HounsouKurt Russell
180,1,Rogue One: A Star Wars Story,BV,"$532,177,324","4,157","$155,081,681","4,157",2016,/movies/?id=starwars2016.htm,Felicity JonesMads MikkelsenBen MendelsohnAlan Tudyk (Voice)Donnie YenForest WhitakerDiego LunaRiz AhmedAnthony Daniels* (Cameo)
181,2,Finding Dory,BV,"$486,295,561","4,305","$135,060,273","4,305",2016,/movies/?id=pixar2015.htm,Ellen DeGeneres (Voice)Albert Brooks (Voice)Ed O'Neill (Voice)Ty Burrell* (Voice)Diane Keaton* (Voice)Eugene Levy* (Voice)Idris Elba* (Voice)Dominic West* (Voice)Andrew Stanton*Bob Peterson*Bill Hader* (Voice)Kate McKinnon* (Voice)Sigourney Weaver* (Voice)
182,3,Captain America: Civil War,BV,"$408,084,349","4,226","$179,139,142","4,226",2016,/movies/?id=marvel2016.htm,"Chris EvansRobert Downey, Jr.Scarlett JohanssonSebastian StanAnthony MackiePaul BettanyJeremy RennerDon CheadleElizabeth OlsenPaul RuddChadwick BosemanEmily VanCampDaniel BruhlFrank GrilloWilliam HurtMartin FreemanTom HollandMarisa Tomei"
183,4,The Secret Life of Pets,Uni.,"$368,384,330","4,381","$104,352,905","4,370",2016,/movies/?id=illumination2015.htm,Dana Carvey* (Voice)Louis C.K. (Voice)Eric Stonestreet (Voice)Kevin Hart (Voice)
184,5,The Jungle Book (2016),BV,"$364,001,123","4,144","$103,261,464","4,028",2016,/movies/?id=junglebook2015.htm,Scarlett Johansson (Voice)Idris Elba (Voice)Lupita Nyong'o (Voice)Ben Kingsley (Voice)Christopher Walken (Voice)Bill Murray (Voice)
185,1,Star Wars: The Last Jedi,BV,"$620,181,382","4,232","$220,009,584","4,232",2017,/movies/?id=starwars8.htm,Mark HamillCarrie FisherAdam DriverDaisy RidleyJohn BoyegaOscar IsaacLupita Nyong'oAndy SerkisDomhnall GleesonAnthony DanielsLaura DernBenicio Del Toro
186,2,Beauty and the Beast (2017),BV,"$504,014,165","4,210","$174,750,616","4,210",2017,/movies/?id=beautyandthebeast2017.htm,Emma WatsonLuke EvansEmma ThompsonKevin KlineDan StevensEwan McGregorStanley TucciIan McKellenGugu Mbatha-RawJosh Gad
187,3,Wonder Woman,WB,"$412,563,408","4,165","$103,251,471","4,165",2017,/movies/?id=wonderwoman.htm,Gal GadotChris PineConnie NielsenRobin WrightDanny HustonDavid ThewlisEwen Bremner
188,4,Jumanji: Welcome to the Jungle,Sony,"$404,515,480","3,849","$36,169,328","3,765",2017,/movies/?id=jumanji2016.htm,Dwayne JohnsonJack BlackKevin HartKaren GillanNick JonasBobby Cannavale
189,5,Guardians of the Galaxy Vol. 2,BV,"$389,813,101","4,347","$146,510,104","4,347",2017,/movies/?id=marvel17a.htm,Michael RookerChris PrattZoe SaldanaDave BautistaVin Diesel (Voice)Bradley Cooper (Voice)Karen GillanElizabeth DebickiKurt RussellSylvester Stallone
